provincia_id,provincia_nombre,anio,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas,cantidad_victimas_masc,cantidad_victimas_fem,cantidad_victimas_sd,tasa_hechos,tasa_victimas,tasa_victimas_masc,tasa_victimas_fem
02,Ciudad Autónoma de Buenos Aires,2002.0,30,Contravenciones,45.0,,,,,1.5004727,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,31,Suicidios (consumados),286.0,286.0,0.0,0.0,286.0,10.138791,10.138791,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2003.0,1,Homicidios dolosos,142.0,146.0,119.0,27.0,0.0,4.7290487,4.8622613,8.627708,1.663175
02,Ciudad Autónoma de Buenos Aires,2003.0,2,Homicidios dolosos en grado de tentativa,44.0,47.0,36.0,11.0,0.0,1.4653391,1.5652486,2.610063,0.67758983
02,Ciudad Autónoma de Buenos Aires,2003.0,3,Muertes en accidentes viales,107.0,110.0,79.0,31.0,0.0,3.5634382,3.6633477,5.7276382,1.9095713
02,Ciudad Autónoma de Buenos Aires,2003.0,4,Homicidios culposos por otros hechos,10.0,10.0,5.0,4.0,1.0,0.3330316,0.3330316,0.36250877,0.2463963
02,Ciudad Autónoma de Buenos Aires,2003.0,5,Lesiones dolosas,13721.0,14308.0,8163.0,6145.0,0.0,456.95267,476.50162,591.8318,378.5263
02,Ciudad Autónoma de Buenos Aires,2003.0,6,Lesiones culposas en Accidentes Viales,7510.0,8834.0,5725.0,3107.0,2.0,250.10674,294.20013,415.07254,191.38832
02,Ciudad Autónoma de Buenos Aires,2003.0,7,Lesiones culposas por otros hechos,930.0,1002.0,531.0,469.0,2.0,30.97194,33.369766,38.498432,28.889967
02,Ciudad Autónoma de Buenos Aires,2003.0,8,Otros delitos contra las personas,1515.0,1569.0,798.0,766.0,5.0,50.45429,52.25266,57.8564,47.18489
02,Ciudad Autónoma de Buenos Aires,2003.0,9,Delitos contra el honor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2003.0,10,Abusos sexuales con acceso carnal (violaciones),213.0,221.0,47.0,157.0,17.0,7.093573,7.3599987,3.4075823,9.671055
02,Ciudad Autónoma de Buenos Aires,2003.0,11,Otros delitos contra la integridad sexual,469.0,495.0,67.0,394.0,34.0,15.619183,16.485065,4.8576174,24.270035
02,Ciudad Autónoma de Buenos Aires,2003.0,12,Delitos contra el estado civil,1.0,,,,,0.03330316,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,13,Amenazas,12204.0,,,,,406.43176,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,14,Otros delitos contra la libertad,2703.0,2703.0,0.0,0.0,2703.0,90.01844,90.01844,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2003.0,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),73222.0,,,,,2438.524,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),3366.0,,,,,112.09844,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,17,Robos agravados por el resultado de lesiones y/o muertes,28.0,,,,,0.9324885,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,2.0,,,,,0.06660632,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,19,Hurtos,51050.0,,,,,1700.1263,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,20,Tentativas de hurto,933.0,,,,,31.07185,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,21,Otros delitos contra la propiedad,6672.0,,,,,222.19868,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,22,Delitos contra la seguridad pública,323.0,,,,,10.756921,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,23,Delitos contra el orden público,255.0,,,,,8.492306,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,24,Delitos contra la seguridad de la nación,1.0,,,,,0.03330316,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,25,Delitos contra los poderes públicos y el orden constitucional,8.0,,,,,0.26642528,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,26,Delitos contra la administración pública,2348.0,,,,,78.19582,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,27,Delitos contra la fe pública,1119.0,,,,,37.266235,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,28,Ley 23.737 (estupefacientes),9496.0,,,,,316.24683,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,29,Delitos previstos en otras leyes,4066.0,,,,,135.41064,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,30,Contravenciones,4.0,,,,,0.13321264,,,
02,Ciudad Autónoma de Buenos Aires,2003.0,31,Suicidios (consumados),310.0,310.0,0.0,0.0,310.0,10.992272,10.992272,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2004.0,1,Homicidios dolosos,127.0,135.0,101.0,32.0,2.0,4.2243423,4.4904428,7.302949,1.9712542
02,Ciudad Autónoma de Buenos Aires,2004.0,2,Homicidios dolosos en grado de tentativa,44.0,47.0,28.0,19.0,0.0,1.4635518,1.5633394,2.0245798,1.1704322
02,Ciudad Autónoma de Buenos Aires,2004.0,3,Muertes en accidentes viales,121.0,125.0,83.0,42.0,0.0,4.0247674,4.1578174,6.001433,2.5872712
02,Ciudad Autónoma de Buenos Aires,2004.0,4,Homicidios culposos por otros hechos,21.0,21.0,13.0,8.0,0.0,0.6985133,0.6985133,0.9399835,0.49281356
02,Ciudad Autónoma de Buenos Aires,2004.0,5,Lesiones dolosas,15616.0,16172.0,8989.0,7155.0,28.0,519.4278,537.9218,649.96246,440.7601
02,Ciudad Autónoma de Buenos Aires,2004.0,6,Lesiones culposas en Accidentes Viales,8903.0,10024.0,6373.0,3645.0,6.0,296.13638,333.4237,460.80884,224.53818
02,Ciudad Autónoma de Buenos Aires,2004.0,7,Lesiones culposas por otros hechos,1256.0,1346.0,666.0,677.0,3.0,41.77775,44.771378,48.15608,41.704346
02,Ciudad Autónoma de Buenos Aires,2004.0,8,Otros delitos contra las personas,1338.0,1419.0,649.0,767.0,3.0,44.50528,47.199543,46.92687,47.248497
02,Ciudad Autónoma de Buenos Aires,2004.0,9,Delitos contra el honor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2004.0,10,Abusos sexuales con acceso carnal (violaciones),221.0,232.0,23.0,209.0,0.0,7.3510213,7.7169094,1.6630477,12.874754
02,Ciudad Autónoma de Buenos Aires,2004.0,11,Otros delitos contra la integridad sexual,605.0,631.0,80.0,546.0,5.0,20.123837,20.988663,5.784514,33.634525
02,Ciudad Autónoma de Buenos Aires,2004.0,12,Delitos contra el estado civil,0.0,,,,,0.0,,,
02,Ciudad Autónoma de Buenos Aires,2004.0,13,Amenazas,14372.0,,,,,478.04922,,,
02,Ciudad Autónoma de Buenos Aires,2004.0,14,Otros delitos contra la libertad,2935.0,2935.0,0.0,0.0,2935.0,97.62556,97.62556,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2004.0,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),69938.0,,,,,2326.3154,,,
